央卫,#genre#
CCTV-1,http://go.bkpcp.top/mg/cctv1
CCTV-2,http://go.bkpcp.top/mg/cctv2
CCTV-3,http://go.bkpcp.top/mg/cctv3
CCTV-4,http://go.bkpcp.top/mg/cctv4
CCTV-5,http://go.bkpcp.top/mg/cctv5
CCTV-5+,http://go.bkpcp.top/mg/cctv5p
CCTV-6,http://go.bkpcp.top/mg/cctv6
CCTV-7,http://go.bkpcp.top/mg/cctv7
CCTV-8,http://go.bkpcp.top/mg/cctv8
CCTV-9,http://go.bkpcp.top/mg/cctv9
CCTV-10,http://go.bkpcp.top/mg/cctv10
CCTV-11,http://go.bkpcp.top/mg/cctv11
CCTV-12,http://go.bkpcp.top/mg/cctv12
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://go.bkpcp.top/mg/cctv14
CCTV-15,http://go.bkpcp.top/mg/cctv15
CCTV-17,http://go.bkpcp.top/mg/cctv17

浙江卫视,http://go.bkpcp.top/mg/zjws
广东卫视,http://go.bkpcp.top/mg/gdws
江苏卫视,http://go.bkpcp.top/mg/jsws
东方卫视,http://go.bkpcp.top/mg/dfws
陕西卫视,http://go.bkpcp.top/mg/sxws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
吉林卫视,http://go.bkpcp.top/mg/jlws
青海卫视,http://go.bkpcp.top/mg/qhws
河南卫视,http://go.bkpcp.top/mg/hnws
东南卫视,http://go.bkpcp.top/mg/dnws
大湾区卫视,http://go.bkpcp.top/mg/dwqws
海南卫视,http://go.bkpcp.top/mg/hinws
湖南卫视,http://go.bkpcp.top/mg/hunws
北京卫视,http://go.bkpcp.top/mg/bjws
天津卫视,http://go.bkpcp.top/mg/tjws
重庆卫视,http://go.bkpcp.top/mg/cqws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
吉林卫视,http://go.bkpcp.top/mg/jlws
辽宁卫视,http://go.bkpcp.top/mg/lnws
内蒙古卫视,http://go.bkpcp.top/mg/nmgws
甘肃卫视,http://go.bkpcp.top/mg/gsws
河北卫视,http://go.bkpcp.top/mg/hbws
山西卫视,http://go.bkpcp.top/mg/sxiws
山东卫视,http://go.bkpcp.top/mg/sdws
安徽卫视,http://go.bkpcp.top/mg/ahws
深圳卫视,http://go.bkpcp.top/mg/szws
广西卫视,http://go.bkpcp.top/mg/gxws
云南卫视,http://go.bkpcp.top/mg/ynws
宁夏卫视,http://go.bkpcp.top/mg/nxws
贵州卫视,http://go.bkpcp.top/mg/gzws
四川卫视,http://go.bkpcp.top/mg/scws
新疆卫视,http://go.bkpcp.top/mg/xjws
西藏卫视,http://go.bkpcp.top/mg/xzws
兵团卫视,http://go.bkpcp.top/mg/btws
CHC动作电影,http://go.bkpcp.top/mg/dzdy
CHC影迷电影,http://go.bkpcp.top/mg/ymdy
CHC家庭影院,http://go.bkpcp.top/mg/jtyy






央视,#genre#
广东珠江,http://m.061899.xyz/mg/gdzj
广东新闻,http://m.061899.xyz/mg/gdxw
广东民生,http://m.061899.xyz/mg/gdms
广东体育,http://m.061899.xyz/mg/gdty
CCTV-01,http://m.061899.xyz/mg/cctv1
CCTV-01,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-02,http://m.061899.xyz/mg/cctv2
CCTV-02,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV-03,http://m.061899.xyz/mg/cctv3
CCTV-03,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV-04,http://m.061899.xyz/mg/cctv4
CCTV-05,http://m.061899.xyz/mg/cctv5
CCTV-5+,http://m.061899.xyz/mg/cctv5p
CCTV-06,http://m.061899.xyz/mg/cctv6
CCTV-07,http://m.061899.xyz/mg/cctv7
CCTV-08,http://m.061899.xyz/mg/cctv8
CCTV-08,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV-09,http://m.061899.xyz/mg/cctv9
CCTV-10,http://m.061899.xyz/mg/cctv10
CCTV-11,http://m.061899.xyz/mg/cctv11
CCTV-12,http://m.061899.xyz/mg/cctv12
CCTV-13,http://m.061899.xyz/mg/cctv13
CCTV-13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV-14,http://m.061899.xyz/mg/cctv14
CCTV-15,http://m.061899.xyz/mg/cctv15
CCTV-16,http://m.061899.xyz/mg/cctv16
CCTV-17,http://m.061899.xyz/mg/cctv17
cctv美洲,http://m.061899.xyz/mg/cctv4m
cctv欧洲,http://m.061899.xyz/mg/cctv4o
CETV-01,http://m.061899.xyz/mg/cetv1
CETV-02,http://m.061899.xyz/mg/cetv2
CETV-04,http://m.061899.xyz/mg/cetv4








卫视,#genre#

凤凰中文频标,http://m.061899.xyz/mg/fhzw
凤凰资讯频标,http://m.061899.xyz/mg/fhzx
凤凰香港频标,http://m.061899.xyz/mg/fhhk
家庭影院,http://m.061899.xyz/mg/jtyy
动作电影,http://m.061899.xyz/mg/dzdy
影迷电影,http://m.061899.xyz/mg/ymdy
北京卫视,http://m.061899.xyz/mg/bjws
东方卫视,http://m.061899.xyz/mg/dfws
浙江卫视,http://m.061899.xyz/mg/zjws
江苏卫视,http://m.061899.xyz/mg/jsws
湖南卫视,http://m.061899.xyz/mg/hunws
广东卫视,http://m.061899.xyz/mg/gdws
深圳卫视,http://m.061899.xyz/mg/szws
天津卫视,http://m.061899.xyz/mg/tjws
安徽卫视,http://m.061899.xyz/mg/ahws
山东卫视,http://m.061899.xyz/mg/sdws
河北卫视,http://m.061899.xyz/mg/hbws
河南卫视,http://m.061899.xyz/mg/hnws
江西卫视,http://m.061899.xyz/mg/jxws
四川卫视,http://m.061899.xyz/mg/scws
重庆卫视,http://m.061899.xyz/mg/cqws
贵州卫视,http://m.061899.xyz/mg/gzws
湖北卫视,http://m.061899.xyz/mg/hubws
广西卫视,http://m.061899.xyz/mg/gxws
东南卫视,http://m.061899.xyz/mg/dnws
海南卫视,http://m.061899.xyz/mg/hinws
三沙卫视,http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/sanshaSD/__op/default/__f/index.m3u8
三沙卫视,https://stream.iptv-search.com/main.php?id=%E4%B8%89%E6%B2%99%E5%8D%AB%E8%A7%86&t=1755401429&token=7ddfc6d40f1c98da27c8b5e7c59836a3
甘肃卫视,http://m.061899.xyz/mg/gsws
青海卫视,http://m.061899.xyz/mg/qhws
陕西卫视,http://m.061899.xyz/mg/sxws
宁夏卫视,http://m.061899.xyz/mg/nxws
新疆卫视,http://m.061899.xyz/mg/xjws
西藏卫视,http://m.061899.xyz/mg/xzws
兵团卫视,http://m.061899.xyz/mg/btws
