央视,#genre#
CCTV1,http://110.42.63.57:8918/live/ysp.php?id=CCTV1
CCTV2,http://110.42.63.57:8918/live/ysp.php?id=CCTV2
CCTV3,http://110.42.63.57:8918/live/ysp.php?id=CCTV3
CCTV4,http://110.42.63.57:8918/live/ysp.php?id=CCTV4
CCTV5,http://110.42.63.57:8918/live/ysp.php?id=CCTV5
CCTV5+,http://110.42.63.57:8918/live/ysp.php?id=CCTV5p
CCTV6,http://110.42.63.57:8918/live/ysp.php?id=CCTV6
CCTV7,http://110.42.63.57:8918/live/ysp.php?id=CCTV7
CCTV8,http://110.42.63.57:8918/live/ysp.php?id=CCTV8
CCTV9,http://110.42.63.57:8918/live/ysp.php?id=CCTV9
CCTV10,http://110.42.63.57:8918/live/ysp.php?id=CCTV10
CCTV11,http://110.42.63.57:8918/live/ysp.php?id=CCTV11
CCTV12,http://110.42.63.57:8918/live/ysp.php?id=CCTV12
CCTV13,http://110.42.63.57:8918/live/ysp.php?id=CCTV13
CCTV14,http://110.42.63.57:8918/live/ysp.php?id=CCTV14
CCTV15,http://110.42.63.57:8918/live/ysp.php?id=CCTV15
CCTV16,http://110.42.63.57:8918/live/ysp.php?id=CCTV16
CCTV17,http://110.42.63.57:8918/live/ysp.php?id=CCTV17
